letter_id,source_page_files,source_pages,raw_header,text,sender,recipient,date_iso,place_written,date_header_match
letter_0001,0001_p001.xml,1,"Сарајево, 11. II 1925. | Draga gospođice, | vraćajući se sa izbora sjećam Vas se i pozdravljam | Vaš | Ivo Andrić | 11. II. 25 | Mama Vam zahvaljuje na brizi i pozdravlja Vas.","Сарајево, 11. II 1925.
Draga gospođice,
vraćajući se sa izbora sjećam Vas se i pozdravljam
Vaš
Ivo Andrić
11. II. 25
Mama Vam zahvaljuje na brizi i pozdravlja Vas.",Ivo Andrić,Ivo Andrić,1925-02-11,,11. II 1925
letter_0002,0001_p001.xml,1,"Београд, 1. IV 1925. | Beograd 2. IV. 25. | Draga gospođice, | hvala Vam mnogo na poslednjoj karti. — Vi znate, | otprilike, kakav je život u Beogradu, vječita trka i hitnja; | sve ono sto se u drugim mjestima obavi lako i kratko | ovde je, još uvijek, teško i zamršeno. Isprva sam išao | dosta po društvima, sad sam i to prestao, jer mi oduzima","Београд, 1. IV 1925.
Beograd 2. IV. 25.
Draga gospođice,
hvala Vam mnogo na poslednjoj karti. — Vi znate,
otprilike, kakav je život u Beogradu, vječita trka i hitnja;
sve ono sto se u drugim mjestima obavi lako i kratko
ovde je, još uvijek, teško i zamršeno. Isprva sam išao
dosta po društvima, sad sam i to prestao, jer mi oduzima
mnogo vremena a daje malo ili ništa. Pa pored svega
toga jedva čovjek stigne „da se prekrsti”.
Drago mi je da ste zdravo Vi i Vaši, i uspjehu
g. Dobronića se iskreno veselim; kritika ne treba da ga
mnogo smeta.
Da li se ikad javila gđa Sczepanska i da li je išta
prevela? — Kad god dođe proljeće, ja mislim na Poljsku, i uvijek sam bio radoznao kako će mi moja proza
izgledati kad je budem čitao na poljskom. — Moje „Pripovetke"" su izašle u Srp. Knjiž. Zadruzi, za njih sam
dobio i ovogodišnju nagradu Akademije. Ovih dana ću
Vam poslati jedan primerak. Javite se skoro. Pozdravite
sve.
Vaš
Ivo Andrić",Ivo Andrić,Zdenka Marković,1925-04-02,Beograd,Beograd 2. IV. 25
letter_0003,0001_p001.xml,1,"Београд, 10. V 1925. | Nedelja, 10. V. | Draga gospođice, | primio sam sinoć Vaše pismo i neobično se obra- | dovao kad sam video da ste u Beogradu. Ne znam kad | ste slobodni od Vaših društvenih poslova i obaveza, a | hteo bih svakako da s Vama ručam ili večeram. | Danas posle podne od 4 s. dalje biću u mom ho-","Београд, 10. V 1925.
Nedelja, 10. V.
Draga gospođice,
primio sam sinoć Vaše pismo i neobično se obradovao kad sam video da ste u Beogradu. Ne znam kad
ste slobodni od Vaših društvenih poslova i obaveza, a
hteo bih svakako da s Vama ručam ili večeram.
Danas posle podne od 4 s. dalje biću u mom hotelu, možete mi telefonirati. Ako ste slobodni dođite
prosto u 8 s. da večeramo zajedno; ako ne, javite mi
gde da se nađemo sutra za ručak.
U svakom slučaju, do viđenja.
Srdačno Vas pozdravlja Vaš
I. Andrić",Ivo Andrić,Zdenka Marković,1925-05-10,,10. V 1925
letter_0004,0002_p002.xml,2,"Атина, 28. XI 1925. | Na povratku iz Carigrada, razgledajući Atinu, sjeća | Vas se i pozdravlja srdačno | Ivo Andrić | 28. XI. 25.","Атина, 28. XI 1925.
Na povratku iz Carigrada, razgledajući Atinu, sjeća
Vas se i pozdravlja srdačno
Ivo Andrić
28. XI. 25.",Ivo Andrić,Zdenka Marković,1925-11-28,,28. XI 1925
letter_0005,0002_p002.xml,2,"Београд. 24. II 1926. | Beograd 24. II. 26 | Draga gospođice, | nemojte mi zamjeriti na dugom ćutanju. Hvala | Vam na članku iz Tagblatta. Ja sam inače ono što se | kaže, „zdravo i dobro“. Ali malo je dobra u svemu | tome. Dobro je možda samo to što dani ovde prolaze u | nekoj hitnji i huci koja čovjeka potpuno apsorbuje. Ovde","Београд. 24. II 1926.
Beograd 24. II. 26
Draga gospođice,
nemojte mi zamjeriti na dugom ćutanju. Hvala
Vam na članku iz Tagblatta. Ja sam inače ono što se
kaže, „zdravo i dobro“. Ali malo je dobra u svemu
tome. Dobro je možda samo to što dani ovde prolaze u
nekoj hitnji i huci koja čovjeka potpuno apsorbuje. Ovde
je bio duže vremena Ivo Vojnović, sad je otišao u Dubrovnik. S njim sam nekako najvolio da razgovaram,
zato što je i njemu umrla majka i što je se on tako živo
i neprestano sjeća.
Javite se opet koji put. Pozdravlja Vas srdačno
Vaš
Ivo Andrić",Ivo Andrić,Zdenka Marković,1926-02-24,Beograd,Beograd 24. II. 26
letter_0006,0002_p002.xml,2,"Вишеград, 13. VII 1926. | Draga gospođice, | hvala puno na sjećanju iz Maribora. Nadam se da | ste dobro i Vi i gđa mama. Ja sam malko slab i opo- | ravljam se. Srdačno pozdravlja | Ivo Andrić | Višegrad 13. VII. 26. | [Адреса:]","Вишеград, 13. VII 1926.
Draga gospođice,
hvala puno na sjećanju iz Maribora. Nadam se da
ste dobro i Vi i gđa mama. Ja sam malko slab i oporavljam se. Srdačno pozdravlja
Ivo Andrić
Višegrad 13. VII. 26.
[Адреса:]
Dr. Zdenka Marković
schriftsteller
Bad Villach
bei Eisen Kappel
Karnten Austrija",Ivo Andrić,Ivo Andrić,1926-07-13,Višegrad,Višegrad 13. VII. 26
letter_0007,0003_p003.xml,3,"Београд, 20. X 1926. | Beograd 20. X. 26. | Draga gospođice, | hvala Vam na pismu koje me je obradovalo, iako | san o kom mi pišete nije mnogo veseo. Ali, Bog će dati | pa će dobro biti. Ovih dana sam mnogo mislio o pok. | mami, jer joj upravo sada podižemo spomenik. Moja | tetka je zdravo i, koliko se može, dobro. Znam i vjeru-","Београд, 20. X 1926.
Beograd 20. X. 26.
Draga gospođice,
hvala Vam na pismu koje me je obradovalo, iako
san o kom mi pišete nije mnogo veseo. Ali, Bog će dati
pa će dobro biti. Ovih dana sam mnogo mislio o pok.
mami, jer joj upravo sada podižemo spomenik. Moja
tetka je zdravo i, koliko se može, dobro. Znam i vjerujem Vam da se ne osećate dobro u tom zagrebačkom
„javnom“ životu. Svuda je zlo. Ali podnosilo se i gore,
pa valja snositi. Pozdravite sve Vaše. Javite se.
Srdačno Vas pozdravlja
Ivo Andrić",Ivo Andrić,Zdenka Marković,1926-10-20,Beograd,Beograd 20. X. 26
letter_0008,0003_p003.xml,3,"Mарсеј, 2. II 1927. | Marseille 2 februara 1927 | 51, rue St. Jacques | Draga gospođice, | davno sam primio Vaše pismo, ali su me svakojake | nedaće zadržale sve do danas da Vam se javim. Prebolio | sam anginu a još vučem grip. Međutim pre deset dana | umrla mi je tetka u Višegradu. Na žalost nisam mogao","Mарсеј, 2. II 1927.
Marseille 2 februara 1927
51, rue St. Jacques
Draga gospođice,
davno sam primio Vaše pismo, ali su me svakojake
nedaće zadržale sve do danas da Vam se javim. Prebolio
sam anginu a još vučem grip. Međutim pre deset dana
umrla mi je tetka u Višegradu. Na žalost nisam mogao
ni na sahranu da joj odem. To je bio poslednji član naše
porodice t. j. predposlednji, jer poslednji sam ja. U tri
poslednje godine ja sam, kao što znate izgubio tetka,
majku i tetku. t. j. sve što sam imao. Vi ćete razumjeti,
kad Vam kažem da mi nije lako.
Nadam se da ste Vi i Vaši dobro i zdravo. Javite
mi se.
Sredačno Vas pozdravlja Vaš
Ivo Andrić
Molim Vas pišite mi na kućnu adresu.",Ivo Andrić,Zdenka Marković,1927-02-02,Mарсеј,"Mарсеј, 2. II 1927"
letter_0009,0003_p003.xml;0004_p004.xml,3;4,"Mapcej, 20. IV 1927. | Marseille 20 aprila 1927. | 51, rue St. Jacques | Draga gospođice, | hvala na pismu i dobrim željama i čestitkama koje | Vam uzvraćam od sveg srca. Istina je da nisam najbolje | sa zdravljem i da sam ovde pretrpan poslom koji je | težak i pun odgovornosti; sve drugo što pominjete br-","Mapcej, 20. IV 1927.
Marseille 20 aprila 1927.
51, rue St. Jacques
Draga gospođice,
hvala na pismu i dobrim željama i čestitkama koje
Vam uzvraćam od sveg srca. Istina je da nisam najbolje
sa zdravljem i da sam ovde pretrpan poslom koji je
težak i pun odgovornosti; sve drugo što pominjete brbljarije su i ogovaranja na koja čovjek mora u životu da
se navikne, naročito kad je t. zv. javni čovjek. Ne vredi
govoriti.
Tri dana uskrsa sam proveo u Provenci (Arles —
Nimes — Avignon). To me malo osvežilo i odmorilo
od ovog bučnog i nelijepog Marseilla. Teško je zamisliti
ljepotu n. pr. Avignona, a nikakva slika i nikakav opis
ne mogu je izraziti. Ja ljepšeg kraja nisam nikad vidio.
Nedavno je bio ovde poljski pisac Boy-Želenski i
držao konferenciju. Poljski konzul me upoznao s njim.
Interesantan čovjek.
Ne znam kad ću moći na odsustvo, ali ću Vam
svakako javiti i gledati da se zadržim dan u Zagrebu.
Molim Vas, kakav je časopis Vijenac? Urednik Dr.
Nevistić neprestano me moli za prilog, i ja sam ga
obećao. Može li se u njemu sarađivati?
Ja ovde ne pišem gotovo ništa, ali čitam. Dosta i
proučavam ovu zemlju koja je čudna i svima nama nedovoljno poznata.
Pozdravite srdačno sve Vaše i javite mi se opet.
Najljepše Vas pozdravlja
Ivo Andrić
Maрсеј, 30. IX 1927.",Ivo Andrić,Zdenka Marković,1927-04-20,Mapcej,"Mapcej, 20. IV 1927"
letter_0010,0004_p004.xml,4,"Marseille 30. IX 1927. | 51, rue St. Jacques | Draga gospođice, | hvala Vam da ste me se sjetili i da ste me malko | trgnuli iz ovih snova u koje čovjeka uljulja tuđi svijet i | duga samoća. | Sve sam mislio da Vam se javim ili da svratim do | Vas kad budem prolazio kroz Zagreb, ali ove godine ne","Marseille 30. IX 1927.
51, rue St. Jacques
Draga gospođice,
hvala Vam da ste me se sjetili i da ste me malko
trgnuli iz ovih snova u koje čovjeka uljulja tuđi svijet i
duga samoća.
Sve sam mislio da Vam se javim ili da svratim do
Vas kad budem prolazio kroz Zagreb, ali ove godine ne
bi ništa od moga odsustva. Bio sam nekoliko dana službenim poslom na putu i prošao Grenobl i njegovu okolinu koja je ljepša nego čovjek može da kaže. Ovde
imam dosta posla; jedino što ima lijepo i prijatno na
ovom gradu, to je da mogu da se kupam svaki dan u
moru. Upoznao sam prilično dobro Francuze i Francusku.
Pozdravite Vaše. Ne zaboravite me. Srdačno Vas
pozdravlja
Ivo Andrić",Ivo Andrić,Zdenka Marković,1927-09-30,Marseille,Marseille 30. IX 1927
