letter_id,text,label,start,end,score,model
letter_0001,Сарајево,LOC,0,8,0.9802049398422241,classla/bcms-bertic-ner
letter_0001,Ivo Andrić,PER,95,105,0.9960199594497681,classla/bcms-bertic-ner
letter_0001,11. II 1925,DATE,10,21,1.0,rule-based-date-v1
letter_0001,11. II. 25,DATE,106,116,1.0,rule-based-date-v1
letter_0002,Београд,LOC,0,7,0.9392011761665344,classla/bcms-bertic-ner
letter_0002,Beogradu,LOC,134,142,0.9983125925064087,classla/bcms-bertic-ner
letter_0002,Dobronića,PER,477,486,0.9352021217346191,classla/bcms-bertic-ner
letter_0002,Sczepanska,PER,568,578,0.9743217825889587,classla/bcms-bertic-ner
letter_0002,Poljsku,LOC,642,649,0.978314995765686,classla/bcms-bertic-ner
letter_0002,Pripovetke,MISC,749,759,0.9835421442985535,classla/bcms-bertic-ner
letter_0002,Srp. Knjiž. Zadruzi,ORG,773,792,0.9961962699890137,classla/bcms-bertic-ner
letter_0002,Akademije,ORG,834,843,0.9922829270362854,classla/bcms-bertic-ner
letter_0002,Ivo Andrić,PER,923,933,0.9980722069740295,classla/bcms-bertic-ner
letter_0002,1. IV 1925,DATE,9,19,1.0,rule-based-date-v1
letter_0002,2. IV. 25,DATE,29,38,1.0,rule-based-date-v1
letter_0003,Београд,LOC,0,7,0.9836169481277466,classla/bcms-bertic-ner
letter_0003,Beogradu,LOC,129,137,0.9984878301620483,classla/bcms-bertic-ner
letter_0003,I. Andrić,PER,493,502,0.9906889796257019,classla/bcms-bertic-ner
letter_0003,10. V 1925,DATE,9,19,1.0,rule-based-date-v1
letter_0004,Атина,LOC,0,5,0.9145520925521851,classla/bcms-bertic-ner
letter_0004,Carigrada,LOC,35,44,0.7942209839820862,classla/bcms-bertic-ner
letter_0004,Atinu,LOC,59,64,0.9779617786407471,classla/bcms-bertic-ner
letter_0004,Ivo Andrić,PER,100,110,0.9980175495147705,classla/bcms-bertic-ner
letter_0004,28. XI 1925,DATE,7,18,1.0,rule-based-date-v1
letter_0004,28. XI. 25,DATE,111,121,1.0,rule-based-date-v1
letter_0005,Београд,LOC,0,7,0.961447536945343,classla/bcms-bertic-ner
letter_0005,Beograd,LOC,22,29,0.7523264288902283,classla/bcms-bertic-ner
letter_0005,Tagblatta,ORG,120,129,0.7576124668121338,classla/bcms-bertic-ner
letter_0005,Ivo Vojnović,PER,335,347,0.9982907176017761,classla/bcms-bertic-ner
letter_0005,Dubrovnik,LOC,365,374,0.997308611869812,classla/bcms-bertic-ner
letter_0005,Ivo Andrić,PER,547,557,0.9977741837501526,classla/bcms-bertic-ner
letter_0005,24. II 1926,DATE,9,20,1.0,rule-based-date-v1
letter_0005,24. II. 26,DATE,30,40,1.0,rule-based-date-v1
letter_0006,Вишеград,LOC,0,8,0.9816421866416931,classla/bcms-bertic-ner
letter_0006,Ivo Andrić,PER,170,180,0.9970956444740295,classla/bcms-bertic-ner
letter_0006,Višegrad,LOC,181,189,0.8211488723754883,classla/bcms-bertic-ner
letter_0006,Zdenka Marković,PER,217,232,0.9137225151062012,classla/bcms-bertic-ner
letter_0006,Villach,LOC,252,259,0.9749394655227661,classla/bcms-bertic-ner
letter_0006,Eisen Kappel Karnten,LOC,264,284,0.9033662676811218,classla/bcms-bertic-ner
letter_0006,Austrija,LOC,285,293,0.9073998928070068,classla/bcms-bertic-ner
letter_0006,13. VII 1926,DATE,10,22,1.0,rule-based-date-v1
letter_0006,13. VII. 26,DATE,190,201,1.0,rule-based-date-v1
letter_0007,Београд,LOC,0,7,0.9765726327896118,classla/bcms-bertic-ner
letter_0007,Bog,PER,147,150,0.9883344173431396,classla/bcms-bertic-ner
letter_0007,Ivo Andrić,PER,493,503,0.9980347156524658,classla/bcms-bertic-ner
letter_0007,20. X 1926,DATE,9,19,1.0,rule-based-date-v1
letter_0007,20. X. 26,DATE,29,38,1.0,rule-based-date-v1
letter_0008,Marseille,LOC,20,29,0.9818459153175354,classla/bcms-bertic-ner
letter_0008,St. Jacques,LOC,54,65,0.9767774939537048,classla/bcms-bertic-ner
letter_0008,Višegradu,LOC,259,268,0.7623341083526611,classla/bcms-bertic-ner
letter_0008,Ivo Andrić,PER,634,644,0.9978381395339966,classla/bcms-bertic-ner
letter_0008,2. II 1927,DATE,8,18,1.0,rule-based-date-v1
letter_0008,2 februara 1927,DATE,30,45,1.0,rule-based-date-v1
letter_0009,Marseille,LOC,21,30,0.981473982334137,classla/bcms-bertic-ner
letter_0009,St. Jacques,LOC,55,66,0.93543940782547,classla/bcms-bertic-ner
letter_0009,Provenci,LOC,446,454,0.9851778149604797,classla/bcms-bertic-ner
letter_0009,Arles — Nimes,LOC,456,469,0.8662809133529663,classla/bcms-bertic-ner
letter_0009,Avignon,LOC,472,479,0.8848772048950195,classla/bcms-bertic-ner
letter_0009,Marseilla,LOC,540,549,0.9883923530578613,classla/bcms-bertic-ner
letter_0009,Avignona,LOC,585,593,0.7758909463882446,classla/bcms-bertic-ner
letter_0009,Boy-Želenski,PER,717,729,0.9370150566101074,classla/bcms-bertic-ner
letter_0009,Zagrebu,LOC,896,903,0.9984398484230042,classla/bcms-bertic-ner
letter_0009,Vijenac,ORG,933,940,0.896378755569458,classla/bcms-bertic-ner
letter_0009,Nevistić,PER,952,962,0.9643428921699524,classla/bcms-bertic-ner
letter_0009,Ivo Andrić,PER,1236,1246,0.9967817664146423,classla/bcms-bertic-ner
letter_0009,Ma,LOC,1247,1249,0.9389200806617737,classla/bcms-bertic-ner
letter_0009,20. IV 1927,DATE,8,19,1.0,rule-based-date-v1
letter_0009,20 aprila 1927,DATE,31,45,1.0,rule-based-date-v1
letter_0009,30. IX 1927,DATE,1255,1266,1.0,rule-based-date-v1
letter_0010,Marseille,LOC,0,9,0.9890982508659363,classla/bcms-bertic-ner
letter_0010,St. Jacques,LOC,31,42,0.9770259261131287,classla/bcms-bertic-ner
letter_0010,Zagreb,LOC,258,264,0.9982398748397827,classla/bcms-bertic-ner
letter_0010,Grenobl,LOC,367,374,0.99578458070755,classla/bcms-bertic-ner
letter_0010,Francuze,PER,576,584,0.8977077007293701,classla/bcms-bertic-ner
letter_0010,Francusku,PER,587,596,0.612150251865387,classla/bcms-bertic-ner
letter_0010,Ivo Andrić,PER,656,666,0.9984824061393738,classla/bcms-bertic-ner
letter_0010,30. IX 1927,DATE,10,21,1.0,rule-based-date-v1
letter_0011,Женева,LOC,0,6,0.8517725467681885,classla/bcms-bertic-ner
letter_0011,Žene,LOC,20,24,0.9946632385253906,classla/bcms-bertic-ner
letter_0011,Alpe,LOC,58,62,0.639125645160675,classla/bcms-bertic-ner
letter_0011,Zagreb,LOC,794,800,0.9981691837310791,classla/bcms-bertic-ner
letter_0011,Beograd,LOC,841,848,0.9981985688209534,classla/bcms-bertic-ner
letter_0011,Fribourgu,LOC,900,909,0.9259634017944336,classla/bcms-bertic-ner
letter_0011,Ženeva,LOC,929,935,0.990460991859436,classla/bcms-bertic-ner
letter_0011,Tugomira Alaupovića,PER,1026,1045,0.9717653393745422,classla/bcms-bertic-ner
letter_0011,Ivo Andrić,PER,1186,1196,0.9977573156356812,classla/bcms-bertic-ner
