label,type,wikidata_uri
Alpi,LOC,http://www.wikidata.org/entity/Q1286
Arles,LOC,http://www.wikidata.org/entity/Q48292
Atina,LOC,http://www.wikidata.org/entity/Q1524
Austrija,LOC,http://www.wikidata.org/entity/Q40
Avignon,LOC,http://www.wikidata.org/entity/Q6397
Beograd,LOC,http://www.wikidata.org/entity/Q3711
Berlin,LOC,http://www.wikidata.org/entity/Q64
Carigrad,LOC,http://www.wikidata.org/entity/Q406
Dubrovnik,LOC,http://www.wikidata.org/entity/Q1722
Eisenkappel,LOC,http://www.wikidata.org/entity/Q134291767
Frankfurt,LOC,http://www.wikidata.org/entity/Q1794
Fribourg,LOC,http://www.wikidata.org/entity/Q36188
Grenoble,LOC,http://www.wikidata.org/entity/Q1289
Krakow,LOC,http://www.wikidata.org/entity/Q31487
Marseille,LOC,http://www.wikidata.org/entity/Q23482
Nîmes,LOC,http://www.wikidata.org/entity/Q42807
Poljska,LOC,http://www.wikidata.org/entity/Q36
Provansa,LOC,http://www.wikidata.org/entity/Q101081
Sarajevo,LOC,http://www.wikidata.org/entity/Q11194
Villach,LOC,http://www.wikidata.org/entity/Q483522
Višegrad,LOC,http://www.wikidata.org/entity/Q239266
Weimar,LOC,http://www.wikidata.org/entity/Q3955
Zagreb,LOC,http://www.wikidata.org/entity/Q1435
Ženeva,LOC,http://www.wikidata.org/entity/Q71
Agramer Tagblatt,ORG,http://www.wikidata.org/entity/Q120030987
Akademija,ORG,http://www.wikidata.org/entity/Q162633
Hrvatska revija,ORG,http://www.wikidata.org/entity/Q5923993
Srpska književna zadruga,ORG,http://www.wikidata.org/entity/Q16085853
Vijenac,ORG,http://www.wikidata.org/entity/Q3509683
Bronisław Grabowski,PER,http://www.wikidata.org/entity/Q9179905
Dobronić,PER,http://www.wikidata.org/entity/Q610002
Endre Ady,PER,http://www.wikidata.org/entity/Q211392
Franz Schütz,PER,http://www.wikidata.org/entity/Q1449030
Ivo Andrić,PER,http://www.wikidata.org/entity/Q47561
Ivo Vojnović,PER,http://www.wikidata.org/entity/Q553440
Miroslav Krleža,PER,http://www.wikidata.org/entity/Q325428
Nevistić,PER,http://www.wikidata.org/entity/Q131353567
Tadeusz Boy-Żeleński,PER,http://www.wikidata.org/entity/Q699597
Tugomir Alaupović,PER,http://www.wikidata.org/entity/Q110227319
Zdenka Marković,PER,http://www.wikidata.org/entity/Q9389418
