error_type,label,type,wikidata_uri
FN,alpi,LOC,http://www.wikidata.org/entity/Q1286
FN,atina,LOC,http://www.wikidata.org/entity/Q1524
FN,carigrad,LOC,http://www.wikidata.org/entity/Q406
FN,fribourg,LOC,http://www.wikidata.org/entity/Q36188
FN,weimar,LOC,http://www.wikidata.org/entity/Q3955
FN,ženeva,LOC,http://www.wikidata.org/entity/Q71
FN,vijenac,ORG,http://www.wikidata.org/entity/Q3509683
FN,dobronić,PER,http://www.wikidata.org/entity/Q610002
FP,alpi,LOC,http://www.wikidata.org/entity/Q37572926
FP,atina,LOC,http://www.wikidata.org/entity/Q116531
FP,carigrad,LOC,http://www.wikidata.org/entity/Q17718098
FP,fribourg,LOC,http://www.wikidata.org/entity/Q36378
FP,gene,LOC,http://www.wikidata.org/entity/Q200779
FP,st. jacques,LOC,http://www.wikidata.org/entity/Q21475356
FP,weimar,LOC,http://www.wikidata.org/entity/Q37489663
FP,ženeva,LOC,http://www.wikidata.org/entity/Q23861440
FP,vijenac,ORG,http://www.wikidata.org/entity/Q1201922
FP,dobronić,PER,http://www.wikidata.org/entity/Q1233522
